,值
0,429.470642
1,427.35614
2,431.5427
3,432.412567
4,432.838318
5,430.2028
6,433.701263
7,433.811951
8,435.3207
9,435.756165
10,436.891663
11,434.060822
12,438.1216
13,443.097534
14,440.992859
15,436.1004
16,437.964569
17,441.9165
18,438.575256
19,439.815735
20,438.366943
21,440.455933
22,440.671661
23,441.312744
24,438.371521
25,439.778351
26,435.3026
27,436.933746
28,439.052765
29,431.805145
30,433.614929
31,439.0135
32,430.109375
33,432.225861
34,435.542267
35,430.156616
36,431.290039
37,432.348022
38,429.839417
39,429.1598
40,426.363342
41,424.0532
42,427.362274
43,428.804352
44,424.474426
45,424.746643
46,426.481323
47,421.951141
48,422.408966
49,424.7345
50,421.697449
51,425.53183
52,423.097321
53,420.285217
54,423.735535
55,420.548248
56,421.881775
57,420.55365
58,415.296936
59,419.072784
60,423.335571
61,419.998718
62,422.7538
63,425.3324
64,418.144135
65,419.8759
66,423.986237
67,428.514923
68,421.546326
69,428.085266
70,428.068573
71,424.01828
72,428.0033
73,430.7741
74,431.438843
75,432.276
76,425.941742
77,429.238129
78,433.703552
79,433.994232
80,435.9901
81,438.7195
82,439.653473
83,436.910553
84,437.0832
85,435.081757
86,433.053223
87,438.3427
88,440.0106
89,439.878479
90,440.3756
91,437.0782
92,437.942566
93,437.641418
94,438.058533
95,436.6846
96,431.995026
97,435.3519
98,439.548676
99,438.720734
100,432.331238
101,433.805939
102,437.428162
103,436.6176
104,429.640564
105,431.474945
106,433.651
107,436.048126
108,434.5883
109,431.6539
110,435.972076
111,435.231781
112,434.5027
113,429.135162
114,431.507263
115,430.126343
116,428.8376
117,428.356567
118,425.33
119,429.383118
120,427.731781
121,425.325928
122,426.552643
123,428.572052
124,425.353149
125,423.922333
126,428.0115
127,425.817627
128,424.2237
129,428.313965
130,426.762146
131,428.574768
132,425.164673
133,422.0055
134,424.402924
135,426.24884
136,429.013031
137,424.028961
138,424.170349
139,428.694153
140,429.9738
141,425.000122
142,430.307617
143,431.617981
144,428.943817
145,427.087067
146,427.7115
147,425.226044
148,426.661163
149,431.055725
150,430.01413
151,435.190247
152,428.504761
153,432.593018
154,434.218323
155,435.800629
156,430.8981
157,435.4612
158,428.606873
159,432.070618
160,434.364746
161,435.377777
162,434.066254
163,433.680878
164,437.882751
165,434.200836
166,434.0328
167,437.2798
168,438.900665
169,438.473755
170,433.8765
171,432.66217
172,435.82666
173,435.961334
174,438.4581
175,434.143433
176,427.6354
177,429.9326
178,433.0196
179,433.3669
180,429.978271
181,431.6804
182,433.9634
183,431.653839
184,430.4768
185,426.758972
186,431.275421
187,434.1326
188,430.365021
189,427.795959
190,426.5553
191,429.262238
192,426.949554
193,427.705475
194,427.559937
195,427.353424
196,425.6329
197,423.091217
198,426.9006
199,422.953339
200,424.41214
201,425.00592
202,422.0334
203,422.384277
204,421.69223
205,414.8179
206,421.7618
207,430.063629
208,424.743958
209,427.163971
210,425.06366
211,421.8496
212,422.325531
213,423.27356
214,426.91394
215,425.632019
216,422.8429
217,431.6984
218,431.627655
219,428.760132
220,423.735168
221,424.4367
222,428.153656
223,430.805481
224,428.541931
225,428.728333
226,433.3748
227,436.4931
228,435.699738
229,433.876953
230,430.260071
231,432.292633
232,436.1414
233,439.6051
234,434.044464
235,436.9385
236,439.130035
237,438.7823
238,435.180054
239,442.021973
240,441.290375
241,438.424225
242,436.136627
243,437.4205
244,439.99765
245,436.3329
246,434.911163
247,439.733856
248,436.516449
249,433.610077
250,435.351929
251,435.931335
252,435.081146
253,434.132141
254,435.184265
255,437.157043
256,431.072632
257,430.389465
258,431.10553
259,427.707458
260,427.403534
261,429.9285
262,427.72522
263,428.247131
264,425.667
265,425.884949
266,429.783264
267,430.274139
268,428.7647
269,428.691376
270,426.731445
271,429.899567
272,425.3166
273,424.559845
274,427.644745
275,423.3653
276,426.278564
277,425.7351
278,420.813843
279,421.096
280,426.390625
281,423.7728
282,419.598022
283,424.323334
284,421.120239
285,423.54068
286,424.03595
